Engine,ELO,W,L,D,Score
Cuckoo 25%,2606,1,0,0,1
Cuckoo 50%,2572,1,0,0,1
Flux 100%,2421,1,0,0,1
Cuckoo 12%,2335,1,0,0,1
Flux 50%,2317,1,0,0,1
Rival 1000000,2263,1,0,0,1
Rival 600000,2258,1,0,0,1
Rival 750000,2209,1,0,0,1
Rival 900000,2209,0,1,0,0
Flux 25%,2150,0,1,0,0
Cuckoo 6%,2124,0,1,0,0
Cuckoo 3%,2117,1,0,0,1
Rival 500000,2109,0,0,1,0.5
Flux 12%,2100,1,0,0,1
Flux 6%,2068,0,0,1,0.5
Rival 250000,2016,1,0,0,1
Rival 75000,1948,1,0,0,1
Rival 100000,1898,1,0,0,1
Flux 3%,1847,1,0,0,1
Rival 50000,1786,0,1,0,0
Rival 25000,1727,1,0,0,1
Rival 15000,1653,1,0,0,1
Rival 10000,1633,0,1,0,0
Rival 7500,1630,1,0,0,1
Rival 20000,1607,0,1,0,0
Rival 12500,1566,0,1,0,0
Rival 5000,1561,0,1,0,0
Rival 3500,1442,0,1,0,0
Rival 2000,1417,0,1,0,0
Rival 1000,1361,0,1,0,0
Rival 1500,1299,0,1,0,0
Rival 500,1277,0,1,0,0
Rival 750,1270,0,1,0,0
Rival 250,1216,0,1,0,0
Rival 150,1094,0,1,0,0
Rival 100,1068,0,1,0,0
